bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_packets,src2dst_bytes,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_min_piat_ms,bidirectional_max_piat_ms,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bidirectional_fin_packets,bidirectional_psh_packets
2409.0,12,6506,7.199999999999999,3903.6,4.800000000000001,2602.4,271.085,542.17,108.434,813.2549999999999,200.75,60.224999999999994,0.1,2409.0,1,11,0,1,6
1.0,1,132,0.6,79.2,0.4,52.800000000000004,66.0,132.0,26.400000000000002,198.0,1.0,0.3,0.1,1.0,0,0,0,0,0
1.0,2,194,1.2,116.39999999999999,0.8,77.60000000000001,48.5,97.0,19.400000000000002,145.5,0.5,0.15,0.1,1.0,0,1,0,0,1
1.0,1,102,0.6,61.199999999999996,0.4,40.800000000000004,51.0,102.0,20.400000000000002,153.0,1.0,0.3,0.1,1.0,0,0,0,0,0
2.0,2,198,1.2,118.8,0.8,79.2,49.5,99.0,19.8,148.5,1.0,0.3,0.1,2.0,0,1,0,0,1
1.0,1,109,0.6,65.39999999999999,0.4,43.6,54.5,109.0,21.8,163.5,1.0,0.3,0.1,1.0,0,0,0,0,0
2.0,2,212,1.2,127.19999999999999,0.8,84.80000000000001,53.0,106.0,21.200000000000003,159.0,1.0,0.3,0.1,2.0,0,1,0,0,1
11834.0,16,3020,9.6,1812.0,6.4,1208.0,94.375,188.75,37.75,283.125,739.625,221.8875,0.1,11834.0,1,15,0,1,8
1.0,1,135,0.6,81.0,0.4,54.0,67.5,135.0,27.0,202.5,1.0,0.3,0.1,1.0,0,0,0,0,0
2.0,2,200,1.2,120.0,0.8,80.0,50.0,100.0,20.0,150.0,1.0,0.3,0.1,2.0,0,1,0,0,1
10570.0,19,3176,11.4,1905.6,7.6000000000000005,1270.4,83.58,167.16,33.432,250.74,556.3157894736842,166.89473684210523,0.1,10570.0,1,18,0,1,9
1.0,1,141,0.6,84.6,0.4,56.400000000000006,70.5,141.0,28.200000000000003,211.5,1.0,0.3,0.1,1.0,0,0,0,0,0
2.0,2,212,1.2,127.19999999999999,0.8,84.80000000000001,53.0,106.0,21.200000000000003,159.0,1.0,0.3,0.1,2.0,0,1,0,0,1
10305.0,21,5311,12.6,3186.6,8.4,2124.4,126.45,252.9,50.580000000000005,379.35,490.7142857142857,147.21428571428572,0.1,10305.0,1,20,0,1,10
1.0,1,138,0.6,82.8,0.4,55.2,69.0,138.0,27.6,207.0,1.0,0.3,0.1,1.0,0,0,0,0,0
2.0,2,220,1.2,132.0,0.8,88.0,55.0,110.0,22.0,165.0,1.0,0.3,0.1,2.0,0,1,0,0,1
11314.0,21,3330,12.6,1998.0,8.4,1332.0,79.285,158.57,31.714,237.855,538.7619047619048,161.62857142857143,0.1,11314.0,1,20,0,1,10
10174.0,13,6607,7.8,3964.2,5.2,2642.8,254.115,508.23,101.64600000000002,762.345,782.6153846153846,234.7846153846154,0.1,10174.0,1,12,0,1,6
1.0,1,125,0.6,75.0,0.4,50.0,62.5,125.0,25.0,187.5,1.0,0.3,0.1,1.0,0,0,0,0,0
2.0,2,194,1.2,116.39999999999999,0.8,77.60000000000001,48.5,97.0,19.400000000000002,145.5,1.0,0.3,0.1,2.0,0,1,0,0,1
9520.0,21,5201,12.6,3120.6,8.4,2080.4,123.835,247.67,49.534,371.505,453.3333333333333,136.0,0.1,9520.0,1,20,0,1,10
1.0,1,148,0.6,88.8,0.4,59.2,74.0,148.0,29.6,222.0,1.0,0.3,0.1,1.0,0,0,0,0,0
209.0,2,238,1.2,142.79999999999998,0.8,95.2,59.5,119.0,23.8,178.5,104.5,31.349999999999998,0.1,209.0,0,1,0,0,1
8549.0,14,7517,8.4,4510.2,5.6000000000000005,3006.8,268.465,536.93,107.386,805.395,610.6428571428571,183.19285714285712,0.1,8549.0,1,13,0,1,7
8892.0,14,2923,8.4,1753.8,5.6000000000000005,1169.2,104.395,208.79,41.758,313.185,635.1428571428571,190.54285714285712,0.1,8892.0,1,13,0,1,7
8079.000000000001,20,7628,12.0,4576.8,8.0,3051.2000000000003,190.7,381.4,76.28,572.0999999999999,403.95000000000005,121.185,0.1,8079.000000000001,1,19,0,1,10
4549.0,14,7628,8.4,4576.8,5.6000000000000005,3051.2000000000003,272.43,544.86,108.97200000000001,817.29,324.92857142857144,97.47857142857143,0.1,4549.0,1,13,0,1,7
6121.0,12,4681,7.199999999999999,2808.6,4.800000000000001,1872.4,195.04,390.08,78.016,585.12,510.0833333333333,153.02499999999998,0.1,6121.0,1,11,0,1,6
5398.0,17,3585,10.2,2151.0,6.800000000000001,1434.0,105.44,210.88,42.176,316.32,317.52941176470586,95.25882352941176,0.1,5398.0,1,16,0,1,8
1.0,1,141,0.6,84.6,0.4,56.400000000000006,70.5,141.0,28.200000000000003,211.5,1.0,0.3,0.1,1.0,0,0,0,0,0
1.0,2,212,1.2,127.19999999999999,0.8,84.80000000000001,53.0,106.0,21.200000000000003,159.0,0.5,0.15,0.1,1.0,0,1,0,0,1
5657.0,16,9272,9.6,5563.2,6.4,3708.8,289.75,579.5,115.9,869.25,353.5625,106.06875,0.1,5657.0,1,15,0,1,8
